Id,Loan_Status
27501,Fully Paid
81060,Fully Paid
70064,Fully Paid
10579,Fully Paid
61458,Fully Paid
5135,Fully Paid
15413,Fully Paid
46832,Fully Paid
35664,Fully Paid
30800,Fully Paid
87869,Fully Paid
13676,Fully Paid
72912,Charged Off
86234,Fully Paid
24479,Fully Paid
94095,Fully Paid
31597,Fully Paid
5615,Fully Paid
86685,Fully Paid
63022,Charged Off
21502,Fully Paid
40448,Fully Paid
92383,Fully Paid
74843,Fully Paid
13337,Fully Paid
36950,Fully Paid
72176,Fully Paid
16631,Fully Paid
83822,Fully Paid
69057,Fully Paid
32940,Fully Paid
34269,Fully Paid
67055,Fully Paid
57019,Fully Paid
83195,Fully Paid
81369,Fully Paid
86799,Fully Paid
83594,Fully Paid
7462,Fully Paid
3924,Fully Paid
55364,Fully Paid
13236,Fully Paid
74417,Fully Paid
19935,Fully Paid
67647,Fully Paid
62177,Fully Paid
38265,Fully Paid
75401,Fully Paid
83708,Fully Paid
20833,Fully Paid
81181,Fully Paid
22370,Fully Paid
72986,Fully Paid
34281,Fully Paid
32196,Fully Paid
1672,Fully Paid
44342,Fully Paid
65422,Fully Paid
89867,Fully Paid
85888,Fully Paid
5885,Fully Paid
62748,Fully Paid
46116,Fully Paid
40276,Fully Paid
55025,Fully Paid
23215,Fully Paid
2543,Fully Paid
31690,Fully Paid
17493,Fully Paid
33886,Fully Paid
23863,Fully Paid
65974,Fully Paid
81508,Fully Paid
22871,Fully Paid
39855,Fully Paid
44928,Fully Paid
83564,Fully Paid
97712,Fully Paid
12372,Fully Paid
28186,Fully Paid
80437,Fully Paid
60871,Fully Paid
83209,Fully Paid
14719,Fully Paid
16229,Fully Paid
28376,Fully Paid
77786,Fully Paid
78067,Fully Paid
35524,Fully Paid
29005,Fully Paid
53966,Fully Paid
22547,Fully Paid
4218,Fully Paid
58941,Fully Paid
69515,Fully Paid
94935,Fully Paid
97827,Fully Paid
43005,Fully Paid
82773,Fully Paid
10061,Fully Paid
41478,Fully Paid
54283,Fully Paid
95786,Fully Paid
9950,Fully Paid
69154,Fully Paid
63009,Fully Paid
59154,Fully Paid
49431,Fully Paid
3637,Fully Paid
211,Fully Paid
8761,Fully Paid
9928,Fully Paid
93641,Fully Paid
34544,Fully Paid
26464,Fully Paid
22153,Fully Paid
5738,Fully Paid
87882,Fully Paid
51793,Fully Paid
64633,Fully Paid
89316,Fully Paid
24875,Fully Paid
96550,Fully Paid
66327,Fully Paid
86931,Fully Paid
82490,Fully Paid
11967,Fully Paid
72241,Fully Paid
90922,Fully Paid
38611,Fully Paid
56532,Fully Paid
3739,Fully Paid
92637,Fully Paid
23879,Fully Paid
99288,Fully Paid
32877,Fully Paid
42859,Fully Paid
12896,Fully Paid
5894,Fully Paid
37523,Fully Paid
15768,Fully Paid
48941,Fully Paid
85929,Fully Paid
30158,Fully Paid
187,Fully Paid
56626,Fully Paid
86021,Fully Paid
11825,Fully Paid
8863,Fully Paid
64567,Fully Paid
10470,Fully Paid
1833,Fully Paid
43710,Fully Paid
3725,Fully Paid
33374,Fully Paid
64480,Fully Paid
78186,Fully Paid
72766,Fully Paid
13933,Fully Paid
60792,Fully Paid
57623,Fully Paid
83123,Fully Paid
84378,Fully Paid
6034,Fully Paid
69419,Fully Paid
85020,Fully Paid
71794,Fully Paid
14561,Fully Paid
87387,Fully Paid
86979,Fully Paid
33878,Fully Paid
27815,Fully Paid
33973,Fully Paid
86206,Fully Paid
66889,Fully Paid
10282,Fully Paid
79292,Fully Paid
27827,Fully Paid
97493,Fully Paid
73947,Fully Paid
31836,Fully Paid
70806,Fully Paid
44850,Fully Paid
41287,Fully Paid
94640,Fully Paid
77615,Fully Paid
60067,Fully Paid
17133,Fully Paid
3987,Fully Paid
35044,Fully Paid
7317,Fully Paid
81859,Fully Paid
50154,Fully Paid
64158,Fully Paid
68316,Fully Paid
8781,Fully Paid
88686,Fully Paid
73480,Fully Paid
82142,Fully Paid
1575,Fully Paid
79633,Fully Paid
1768,Fully Paid
5953,Fully Paid
76990,Fully Paid
78106,Fully Paid
24651,Fully Paid
57146,Fully Paid
56330,Charged Off
40143,Fully Paid
8696,Fully Paid
41733,Fully Paid
42608,Fully Paid
45640,Fully Paid
53438,Fully Paid
23169,Fully Paid
12453,Fully Paid
74805,Fully Paid
8513,Fully Paid
59014,Fully Paid
72353,Fully Paid
40895,Fully Paid
15708,Fully Paid
66854,Fully Paid
2356,Fully Paid
60662,Fully Paid
41865,Fully Paid
28774,Fully Paid
7952,Fully Paid
17529,Charged Off
70618,Fully Paid
84318,Fully Paid
68871,Fully Paid
7581,Fully Paid
38392,Fully Paid
7598,Fully Paid
3543,Fully Paid
65330,Fully Paid
55536,Fully Paid
96266,Fully Paid
26076,Fully Paid
28220,Fully Paid
68262,Fully Paid
59970,Fully Paid
81278,Charged Off
15881,Fully Paid
16173,Fully Paid
81646,Fully Paid
73128,Charged Off
45924,Fully Paid
20365,Fully Paid
46712,Fully Paid
45860,Fully Paid
18434,Fully Paid
86748,Fully Paid
46450,Fully Paid
74896,Fully Paid
59774,Fully Paid
29181,Fully Paid
10081,Fully Paid
65680,Fully Paid
95844,Fully Paid
79218,Fully Paid
65919,Fully Paid
86907,Fully Paid
18112,Fully Paid
40199,Fully Paid
59065,Charged Off
13121,Fully Paid
78353,Fully Paid
92873,Fully Paid
39293,Fully Paid
8829,Fully Paid
7171,Fully Paid
13182,Fully Paid
43231,Fully Paid
74718,Fully Paid
86343,Fully Paid
91123,Fully Paid
33666,Fully Paid
49481,Fully Paid
82381,Fully Paid
12556,Fully Paid
73306,Fully Paid
72180,Fully Paid
47770,Fully Paid
37216,Fully Paid
10406,Fully Paid
60674,Fully Paid
11682,Fully Paid
14904,Fully Paid
86345,Fully Paid
76989,Fully Paid
86742,Fully Paid
1098,Fully Paid
50105,Fully Paid
97492,Fully Paid
55334,Fully Paid
93203,Fully Paid
74673,Fully Paid
94031,Fully Paid
68778,Fully Paid
42509,Fully Paid
42797,Fully Paid
1478,Fully Paid
81755,Fully Paid
36077,Fully Paid
5388,Fully Paid
50531,Fully Paid
96262,Fully Paid
56672,Fully Paid
30436,Charged Off
8278,Fully Paid
85499,Fully Paid
13614,Fully Paid
48781,Fully Paid
24016,Fully Paid
29827,Fully Paid
82973,Fully Paid
87314,Fully Paid
69981,Fully Paid
31875,Fully Paid
59103,Fully Paid
81639,Fully Paid
19122,Fully Paid
80080,Fully Paid
13612,Fully Paid
11748,Fully Paid
476,Fully Paid
5076,Fully Paid
47803,Fully Paid
30790,Charged Off
37399,Fully Paid
73914,Fully Paid
59777,Fully Paid
96102,Fully Paid
80406,Fully Paid
56071,Fully Paid
82961,Fully Paid
74235,Fully Paid
47826,Fully Paid
94977,Fully Paid
26537,Fully Paid
89450,Charged Off
98615,Fully Paid
92240,Fully Paid
32481,Fully Paid
5979,Fully Paid
50034,Fully Paid
21424,Fully Paid
11277,Fully Paid
33846,Fully Paid
92598,Fully Paid
10627,Fully Paid
41017,Fully Paid
2169,Fully Paid
49652,Fully Paid
90644,Fully Paid
5911,Charged Off
46231,Fully Paid
74551,Charged Off
77654,Fully Paid
94540,Fully Paid
27595,Fully Paid
85245,Fully Paid
696,Fully Paid
34914,Fully Paid
63515,Fully Paid
51164,Fully Paid
27532,Fully Paid
16395,Fully Paid
56383,Fully Paid
34386,Fully Paid
90513,Fully Paid
47676,Fully Paid
95597,Fully Paid
33701,Fully Paid
75217,Fully Paid
51991,Fully Paid
45904,Fully Paid
5628,Fully Paid
2882,Fully Paid
80203,Fully Paid
12700,Fully Paid
25128,Fully Paid
20908,Fully Paid
28869,Fully Paid
21362,Fully Paid
90814,Fully Paid
25306,Fully Paid
32210,Fully Paid
78912,Fully Paid
7511,Fully Paid
75420,Fully Paid
29049,Fully Paid
49335,Fully Paid
72726,Fully Paid
46518,Fully Paid
48037,Fully Paid
15672,Fully Paid
79395,Fully Paid
2665,Fully Paid
20452,Fully Paid
31236,Fully Paid
91980,Fully Paid
75822,Fully Paid
36718,Fully Paid
23913,Fully Paid
83377,Fully Paid
30765,Fully Paid
38950,Fully Paid
69740,Fully Paid
36600,Fully Paid
33077,Fully Paid
9307,Fully Paid
2458,Fully Paid
14816,Fully Paid
66928,Fully Paid
16282,Fully Paid
21134,Fully Paid
68470,Fully Paid
84457,Fully Paid
35213,Fully Paid
98259,Fully Paid
28298,Fully Paid
41407,Fully Paid
2085,Fully Paid
11395,Fully Paid
2234,Fully Paid
7242,Fully Paid
39538,Fully Paid
73286,Fully Paid
18618,Fully Paid
86325,Fully Paid
11895,Fully Paid
37323,Fully Paid
31765,Fully Paid
39580,Fully Paid
72406,Fully Paid
31746,Fully Paid
82319,Fully Paid
65195,Fully Paid
82357,Fully Paid
8445,Charged Off
64077,Fully Paid
68353,Fully Paid
83750,Fully Paid
68234,Fully Paid
5994,Fully Paid
80758,Fully Paid
14608,Fully Paid
84053,Fully Paid
19913,Fully Paid
97283,Fully Paid
46038,Fully Paid
40254,Fully Paid
83350,Fully Paid
79243,Fully Paid
4150,Fully Paid
52061,Fully Paid
49390,Fully Paid
80671,Fully Paid
47824,Fully Paid
89199,Fully Paid
99581,Fully Paid
83368,Charged Off
8257,Fully Paid
55154,Fully Paid
8318,Fully Paid
28533,Fully Paid
19016,Fully Paid
80704,Fully Paid
60159,Fully Paid
62909,Fully Paid
65312,Charged Off
35058,Fully Paid
63324,Fully Paid
95125,Fully Paid
25282,Fully Paid
37204,Fully Paid
21311,Fully Paid
84051,Fully Paid
17078,Fully Paid
20528,Fully Paid
39714,Fully Paid
19205,Fully Paid
98391,Fully Paid
21224,Fully Paid
10156,Fully Paid
80433,Fully Paid
31727,Fully Paid
70520,Fully Paid
82113,Fully Paid
81558,Fully Paid
41939,Fully Paid
57660,Fully Paid
56132,Fully Paid
29582,Fully Paid
16942,Fully Paid
84768,Fully Paid
8231,Fully Paid
54128,Fully Paid
72369,Fully Paid
71464,Fully Paid
96361,Fully Paid
7861,Fully Paid
7348,Fully Paid
69517,Fully Paid
2346,Fully Paid
20676,Fully Paid
14888,Fully Paid
10251,Fully Paid
85882,Fully Paid
3854,Fully Paid
73314,Fully Paid
14697,Fully Paid
75932,Fully Paid
96026,Fully Paid
86536,Fully Paid
25641,Fully Paid
77951,Charged Off
40944,Fully Paid
36665,Fully Paid
58885,Fully Paid
94920,Fully Paid
28604,Charged Off
89288,Fully Paid
97079,Fully Paid
28509,Fully Paid
83403,Fully Paid
21211,Fully Paid
68900,Fully Paid
56451,Fully Paid
70907,Fully Paid
26360,Fully Paid
73848,Fully Paid
97856,Fully Paid
31945,Fully Paid
10543,Fully Paid
26737,Fully Paid
48163,Fully Paid
15032,Fully Paid
70210,Fully Paid
39668,Fully Paid
77829,Fully Paid
68231,Fully Paid
94565,Fully Paid
77497,Fully Paid
56324,Fully Paid
23609,Fully Paid
94810,Fully Paid
80547,Fully Paid
22476,Fully Paid
94833,Fully Paid
81877,Fully Paid
39919,Fully Paid
50851,Fully Paid
38342,Fully Paid
76032,Fully Paid
44374,Fully Paid
99415,Fully Paid
46283,Fully Paid
16548,Fully Paid
59547,Fully Paid
49474,Fully Paid
94033,Fully Paid
67739,Fully Paid
59577,Fully Paid
98750,Fully Paid
12620,Fully Paid
29689,Fully Paid
96282,Fully Paid
93594,Fully Paid
28606,Fully Paid
64829,Fully Paid
98867,Fully Paid
61356,Fully Paid
96660,Fully Paid
30041,Fully Paid
81969,Fully Paid
54494,Fully Paid
87034,Fully Paid
27334,Fully Paid
94715,Fully Paid
52708,Fully Paid
63336,Fully Paid
93886,Fully Paid
83538,Fully Paid
98123,Fully Paid
8311,Fully Paid
65208,Fully Paid
96128,Fully Paid
37223,Fully Paid
67715,Fully Paid
92499,Fully Paid
3485,Fully Paid
12927,Fully Paid
12920,Fully Paid
79204,Fully Paid
43325,Fully Paid
9082,Fully Paid
28404,Fully Paid
17628,Fully Paid
54842,Fully Paid
94434,Fully Paid
30465,Fully Paid
92297,Fully Paid
7180,Fully Paid
75867,Fully Paid
82198,Fully Paid
61349,Fully Paid
11604,Fully Paid
64142,Fully Paid
11807,Fully Paid
51030,Fully Paid
29138,Fully Paid
80122,Fully Paid
15407,Fully Paid
38627,Fully Paid
33650,Charged Off
27679,Fully Paid
95595,Fully Paid
3323,Fully Paid
98791,Fully Paid
5935,Fully Paid
99055,Fully Paid
50866,Fully Paid
61069,Fully Paid
99838,Fully Paid
25528,Fully Paid
69685,Fully Paid
42012,Fully Paid
75136,Fully Paid
5334,Fully Paid
73114,Fully Paid
98006,Fully Paid
39961,Fully Paid
19561,Fully Paid
58928,Fully Paid
15251,Fully Paid
60418,Fully Paid
82179,Fully Paid
16314,Fully Paid
93168,Fully Paid
11582,Fully Paid
21968,Fully Paid
40504,Fully Paid
13213,Fully Paid
18067,Fully Paid
80284,Fully Paid
97025,Fully Paid
55964,Fully Paid
97606,Fully Paid
18250,Fully Paid
79640,Fully Paid
33940,Fully Paid
37230,Fully Paid
46857,Fully Paid
33581,Fully Paid
45922,Fully Paid
71718,Fully Paid
25206,Fully Paid
35710,Fully Paid
52662,Fully Paid
88365,Fully Paid
11508,Fully Paid
65911,Fully Paid
82789,Fully Paid
63791,Fully Paid
58313,Fully Paid
12495,Fully Paid
60279,Fully Paid
86201,Fully Paid
28230,Fully Paid
98621,Fully Paid
79991,Fully Paid
30667,Fully Paid
36234,Fully Paid
90934,Fully Paid
51807,Fully Paid
16339,Fully Paid
40691,Fully Paid
13294,Fully Paid
86636,Fully Paid
37652,Fully Paid
62357,Fully Paid
44473,Fully Paid
43866,Fully Paid
74868,Fully Paid
48186,Fully Paid
62089,Fully Paid
69630,Fully Paid
3514,Fully Paid
67010,Fully Paid
52671,Fully Paid
26747,Fully Paid
82634,Fully Paid
43286,Fully Paid
71770,Fully Paid
16380,Fully Paid
72459,Fully Paid
25247,Fully Paid
2727,Fully Paid
65718,Fully Paid
40396,Fully Paid
92786,Fully Paid
91205,Fully Paid
70705,Fully Paid
29392,Charged Off
35030,Fully Paid
6343,Fully Paid
62716,Fully Paid
2592,Fully Paid
70326,Fully Paid
79429,Fully Paid
41156,Fully Paid
76198,Fully Paid
11158,Fully Paid
95234,Fully Paid
50812,Fully Paid
67535,Fully Paid
36326,Charged Off
16465,Fully Paid
37185,Fully Paid
59598,Fully Paid
71163,Fully Paid
25116,Fully Paid
24236,Fully Paid
46496,Fully Paid
18202,Fully Paid
22374,Fully Paid
20972,Fully Paid
46333,Fully Paid
71792,Fully Paid
75975,Fully Paid
55607,Fully Paid
31038,Fully Paid
30458,Fully Paid
57488,Fully Paid
94490,Fully Paid
44700,Fully Paid
32260,Fully Paid
20004,Fully Paid
70345,Fully Paid
49116,Fully Paid
93012,Fully Paid
99022,Fully Paid
75235,Fully Paid
83144,Fully Paid
16112,Fully Paid
3169,Fully Paid
13577,Fully Paid
89753,Fully Paid
9038,Fully Paid
51855,Fully Paid
1375,Fully Paid
8952,Fully Paid
85144,Fully Paid
95729,Fully Paid
5513,Fully Paid
4336,Fully Paid
47210,Fully Paid
40198,Fully Paid
84122,Fully Paid
76185,Fully Paid
99915,Charged Off
61406,Fully Paid
22162,Fully Paid
24471,Fully Paid
68549,Fully Paid
4274,Fully Paid
5412,Fully Paid
35228,Fully Paid
86305,Fully Paid
34737,Fully Paid
41459,Fully Paid
80120,Fully Paid
11267,Fully Paid
84391,Fully Paid
48830,Fully Paid
4875,Fully Paid
72775,Fully Paid
70450,Fully Paid
37147,Fully Paid
45522,Fully Paid
53840,Fully Paid
84217,Fully Paid
29346,Fully Paid
9213,Fully Paid
25222,Fully Paid
88866,Fully Paid
45091,Fully Paid
60333,Fully Paid
46188,Fully Paid
2936,Fully Paid
42716,Fully Paid
88682,Fully Paid
47146,Fully Paid
70457,Fully Paid
96078,Fully Paid
489,Fully Paid
19197,Fully Paid
87665,Fully Paid
2262,Fully Paid
14224,Fully Paid
20947,Fully Paid
57521,Fully Paid
11603,Fully Paid
30802,Fully Paid
28394,Fully Paid
99813,Fully Paid
38481,Fully Paid
69743,Fully Paid
29663,Fully Paid
78918,Fully Paid
80168,Fully Paid
70172,Fully Paid
2611,Charged Off
24833,Fully Paid
32589,Fully Paid
7278,Fully Paid
32884,Fully Paid
19159,Fully Paid
98905,Fully Paid
16103,Fully Paid
11911,Fully Paid
1770,Fully Paid
82672,Fully Paid
81933,Fully Paid
55027,Fully Paid
53021,Fully Paid
60932,Fully Paid
74538,Fully Paid
69025,Fully Paid
17067,Fully Paid
24751,Fully Paid
63961,Fully Paid
34219,Fully Paid
98986,Fully Paid
27994,Fully Paid
31120,Fully Paid
5777,Fully Paid
37783,Fully Paid
49426,Fully Paid
41398,Fully Paid
33711,Fully Paid
2955,Fully Paid
65129,Fully Paid
81886,Fully Paid
72783,Fully Paid
74871,Fully Paid
14384,Fully Paid
87878,Fully Paid
69882,Fully Paid
21947,Fully Paid
19738,Fully Paid
88904,Fully Paid
1353,Fully Paid
97683,Fully Paid
25922,Fully Paid
81721,Fully Paid
42377,Fully Paid
75533,Fully Paid
99811,Fully Paid
28279,Fully Paid
66001,Fully Paid
5633,Fully Paid
78626,Fully Paid
55986,Fully Paid
45280,Fully Paid
94521,Fully Paid
37163,Fully Paid
49320,Fully Paid
1565,Fully Paid
26949,Fully Paid
94554,Fully Paid
61847,Fully Paid
46766,Fully Paid
69217,Fully Paid
79732,Fully Paid
16238,Fully Paid
17587,Fully Paid
86872,Fully Paid
22446,Charged Off
45205,Fully Paid
76912,Fully Paid
88868,Fully Paid
73891,Fully Paid
20355,Fully Paid
51211,Fully Paid
59469,Fully Paid
71296,Fully Paid
24602,Fully Paid
115,Fully Paid
74900,Fully Paid
42782,Fully Paid
19370,Fully Paid
54909,Fully Paid
56138,Fully Paid
16273,Fully Paid
57748,Fully Paid
18374,Fully Paid
90259,Fully Paid
51745,Fully Paid
86098,Fully Paid
73559,Fully Paid
94219,Fully Paid
56521,Fully Paid
24066,Fully Paid
77283,Fully Paid
98773,Fully Paid
75256,Fully Paid
26508,Fully Paid
28814,Fully Paid
83249,Charged Off
68102,Fully Paid
71010,Fully Paid
76575,Charged Off
13537,Fully Paid
7577,Fully Paid
6734,Fully Paid
26837,Fully Paid
56466,Fully Paid
58350,Fully Paid
17620,Fully Paid
28593,Fully Paid
97148,Fully Paid
66250,Fully Paid
76029,Fully Paid
85631,Fully Paid
2163,Fully Paid
38236,Fully Paid
22339,Fully Paid
5588,Fully Paid
78254,Fully Paid
28769,Fully Paid
97904,Fully Paid
91174,Fully Paid
95187,Fully Paid
74373,Fully Paid
20434,Fully Paid
68547,Fully Paid
6359,Fully Paid
84358,Fully Paid
80327,Fully Paid
86641,Fully Paid
17310,Fully Paid
19170,Fully Paid
66950,Fully Paid
57706,Fully Paid
23564,Fully Paid
32731,Fully Paid
1946,Fully Paid
40724,Fully Paid
38193,Fully Paid
45504,Fully Paid
88846,Fully Paid
85411,Fully Paid
87463,Fully Paid
64454,Fully Paid
62118,Fully Paid
82084,Fully Paid
98536,Fully Paid
44191,Fully Paid
59844,Fully Paid
92632,Fully Paid
10587,Fully Paid
47435,Fully Paid
25016,Fully Paid
10181,Fully Paid
35367,Fully Paid
11096,Fully Paid
70027,Charged Off
57869,Fully Paid
83801,Fully Paid
73734,Charged Off
42591,Fully Paid
41130,Fully Paid
60595,Fully Paid
79573,Fully Paid
66566,Fully Paid
11921,Fully Paid
51141,Fully Paid
32418,Fully Paid
63169,Fully Paid
45101,Fully Paid
31370,Fully Paid
66558,Fully Paid
37480,Fully Paid
54404,Fully Paid
97981,Fully Paid
11983,Fully Paid
13271,Fully Paid
82653,Fully Paid
47153,Fully Paid
81745,Fully Paid
66791,Fully Paid
78120,Fully Paid
7403,Fully Paid
23370,Fully Paid
74131,Fully Paid
98875,Fully Paid
85478,Fully Paid
74076,Fully Paid
64662,Fully Paid
45345,Fully Paid
43791,Fully Paid
43242,Fully Paid
23099,Fully Paid
91454,Fully Paid
85772,Fully Paid
89901,Fully Paid
79547,Fully Paid
6599,Fully Paid
68239,Fully Paid
7826,Fully Paid
54822,Fully Paid
75309,Fully Paid
76819,Fully Paid
37761,Fully Paid
71132,Fully Paid
15816,Charged Off
62793,Fully Paid
84825,Fully Paid
58871,Fully Paid
37168,Fully Paid
72249,Fully Paid
92937,Fully Paid
18296,Fully Paid
62252,Fully Paid
41153,Fully Paid
27024,Fully Paid
34109,Fully Paid
59145,Fully Paid
95084,Fully Paid
95827,Fully Paid
83176,Fully Paid
12955,Fully Paid
48458,Fully Paid
37184,Fully Paid
69032,Fully Paid
77411,Fully Paid
30427,Fully Paid
75032,Fully Paid
80443,Charged Off
27057,Charged Off
4247,Fully Paid
62110,Fully Paid
31806,Fully Paid
86007,Fully Paid
35119,Fully Paid
23111,Fully Paid
85199,Fully Paid
2353,Fully Paid
45251,Fully Paid
16675,Fully Paid
57245,Fully Paid
83237,Fully Paid
24853,Fully Paid
40280,Fully Paid
86247,Fully Paid
70725,Fully Paid
58670,Fully Paid
75918,Fully Paid
49866,Fully Paid
37087,Fully Paid
60901,Fully Paid
63984,Fully Paid
51944,Fully Paid
68763,Fully Paid
46086,Fully Paid
29918,Fully Paid
71798,Fully Paid
53713,Fully Paid
4670,Fully Paid
70901,Fully Paid
62377,Fully Paid
41611,Fully Paid
74623,Fully Paid
17638,Fully Paid
96659,Fully Paid
13635,Fully Paid
87049,Fully Paid
46076,Charged Off
19062,Fully Paid
27374,Fully Paid
59122,Fully Paid
11759,Fully Paid
84920,Fully Paid
68655,Fully Paid
561,Fully Paid
57620,Fully Paid
62064,Fully Paid
59401,Fully Paid
30976,Fully Paid
20694,Fully Paid
10421,Fully Paid
31754,Fully Paid
94126,Fully Paid
5053,Fully Paid
99152,Fully Paid
35349,Fully Paid
4088,Fully Paid
54541,Fully Paid
22690,Fully Paid
68445,Fully Paid
88517,Fully Paid
44965,Fully Paid
58773,Fully Paid
26869,Fully Paid
45661,Fully Paid
33703,Fully Paid
24155,Fully Paid
40939,Fully Paid
19,Fully Paid
95464,Fully Paid
29723,Fully Paid
90921,Fully Paid
46391,Fully Paid
74001,Fully Paid
18009,Fully Paid
66292,Fully Paid
18252,Fully Paid
84206,Fully Paid
19688,Fully Paid
64477,Fully Paid
40165,Fully Paid
33713,Fully Paid
66373,Fully Paid
28971,Fully Paid
61226,Fully Paid
94549,Charged Off
5035,Fully Paid
71383,Fully Paid
64172,Fully Paid
80627,Fully Paid
45268,Fully Paid
96120,Fully Paid
41249,Fully Paid
84535,Fully Paid
27108,Fully Paid
32775,Fully Paid
39825,Fully Paid
89092,Fully Paid
20617,Fully Paid
22988,Fully Paid
69817,Fully Paid
5407,Fully Paid
40917,Fully Paid
80529,Fully Paid
73571,Fully Paid
9388,Fully Paid
9883,Fully Paid
18042,Fully Paid
47664,Fully Paid
32784,Fully Paid
65475,Fully Paid
20257,Fully Paid
85432,Fully Paid
94481,Charged Off
81192,Fully Paid
82770,Fully Paid
8245,Fully Paid
54353,Fully Paid
9445,Fully Paid
8015,Fully Paid
51753,Fully Paid
8979,Charged Off
56405,Fully Paid
58794,Fully Paid
70565,Fully Paid
34562,Fully Paid
20988,Fully Paid
74707,Fully Paid
27002,Fully Paid
95579,Fully Paid
64212,Fully Paid
77147,Fully Paid
4332,Fully Paid
79800,Fully Paid
87125,Fully Paid
56682,Charged Off
71470,Fully Paid
12549,Fully Paid
19743,Fully Paid
45415,Fully Paid
55140,Fully Paid
3666,Fully Paid
21402,Fully Paid
25161,Fully Paid
61707,Fully Paid
84605,Fully Paid
23722,Fully Paid
9968,Fully Paid
88435,Fully Paid
69240,Fully Paid
89249,Fully Paid
20083,Fully Paid
61550,Fully Paid
24834,Fully Paid
20248,Fully Paid
56468,Fully Paid
17855,Fully Paid
86992,Fully Paid
42415,Fully Paid
19390,Fully Paid
24114,Fully Paid
24125,Fully Paid
91080,Fully Paid
37774,Fully Paid
62214,Fully Paid
24119,Fully Paid
24861,Fully Paid
95830,Fully Paid
36054,Fully Paid
19706,Fully Paid
37812,Fully Paid
93761,Fully Paid
10348,Fully Paid
46381,Fully Paid
2789,Fully Paid
30798,Fully Paid
98535,Fully Paid
9365,Fully Paid
71930,Fully Paid
45908,Fully Paid
73974,Fully Paid
83220,Fully Paid
67873,Fully Paid
28232,Fully Paid
87228,Fully Paid
16640,Fully Paid
86365,Fully Paid
29788,Fully Paid
62125,Fully Paid
11543,Fully Paid
90749,Fully Paid
63409,Fully Paid
12654,Fully Paid
51352,Fully Paid
97686,Fully Paid
37035,Fully Paid
83795,Fully Paid
59808,Fully Paid
78858,Fully Paid
83331,Fully Paid
85982,Fully Paid
90733,Fully Paid
1907,Fully Paid
30574,Fully Paid
95214,Fully Paid
37348,Fully Paid
50702,Fully Paid
91383,Fully Paid
2243,Fully Paid
44819,Fully Paid
51989,Fully Paid
16728,Fully Paid
85283,Charged Off
17538,Fully Paid
96485,Fully Paid
99443,Fully Paid
94448,Fully Paid
15621,Fully Paid
